anime_id,score,watching_status,watched_episodes
5081,8,completed,
889,8,completed,
8440,0,completed,
1519,8,completed,
269,7,on_hold,
2167,0,dropped,
1575,7,completed,
2904,0,on_hold,
1535,10,completed,
6746,8,completed,
226,9,completed,
317,9,completed,
2952,9,completed,
408,8,completed,
121,9,completed,
5114,10,completed,
6421,7,completed,
268,8,completed,
245,10,completed,
270,8,completed,
8074,7,completed,
934,8,completed,
1889,7,completed,
7088,8,completed,
20,7,on_hold,
1210,9,completed,
7769,0,watching,
853,0,dropped,
2993,7,completed,
4214,8,completed,
199,9,completed,
