anime_id,score,watching_status,watched_episodes
52034,0,plan_to_watch,
31646,0,plan_to_watch,
35180,0,plan_to_watch,
25397,6,completed,
11759,7,completed,
22199,8,completed,
25013,9,completed,
30370,0,plan_to_watch,
22729,8,completed,
22147,7,completed,
6547,8,completed,
9989,0,plan_to_watch,
11433,8,watching,
11111,8,completed,
24833,9,completed,
30654,9,completed,
21995,8,completed,
9919,8,completed,
33506,8,completed,
36882,0,plan_to_watch,
7674,0,plan_to_watch,
10030,0,plan_to_watch,
889,0,plan_to_watch,
4901,0,plan_to_watch,
34618,0,plan_to_watch,
31043,0,plan_to_watch,
31964,8,completed,
33486,9,completed,
36456,0,plan_to_watch,
38408,0,plan_to_watch,
36896,9,completed,
33929,7,completed,
35459,0,plan_to_watch,
14967,8,completed,
38186,8,completed,
28755,8,completed,
14345,8,completed,
31478,0,plan_to_watch,
32867,0,plan_to_watch,
33475,7,completed,
28999,8,completed,
31553,0,plan_to_watch,
18671,8,completed,
2167,8,completed,
4181,8,completed,
6351,0,plan_to_watch,
1818,0,plan_to_watch,
34437,9,completed,
40315,0,plan_to_watch,
1575,9,completed,
2904,9,completed,
15037,0,plan_to_watch,
2025,0,plan_to_watch,
38656,0,plan_to_watch,
22961,0,plan_to_watch,
1535,9,completed,
2994,0,plan_to_watch,
28223,8,completed,
38691,0,plan_to_watch,
813,9,completed,
28121,8,completed,
37347,0,plan_to_watch,
40454,0,plan_to_watch,
47164,0,plan_to_watch,
226,8,completed,
32901,0,plan_to_watch,
22043,8,completed,
30778,8,completed,
9982,0,plan_to_watch,
35972,0,plan_to_watch,
34662,0,plan_to_watch,
34321,7,completed,
38085,0,plan_to_watch,
38086,0,plan_to_watch,
38084,0,plan_to_watch,
31706,0,plan_to_watch,
356,7,completed,
25537,0,plan_to_watch,
33049,0,completed,
33050,0,plan_to_watch,
22297,8,completed,
28701,8,completed,
27821,8,completed,
10087,8,completed,
11741,8,completed,
18507,8,completed,
36704,0,plan_to_watch,
