anime_id,score,watching_status,watched_episodes
6408,0,plan_to_watch,
6682,0,plan_to_watch,
9776,6,completed,
11759,8,completed,
13939,8,completed,
12291,8,completed,
101,5,completed,
22199,9,completed,
4744,5,completed,
5112,0,plan_to_watch,
19429,0,plan_to_watch,
8676,9,completed,
9117,6,completed,
11235,8,completed,
9925,7,completed,
6547,10,completed,
10067,10,completed,
9062,10,on_hold,
9989,10,completed,
11433,8,completed,
24833,6,dropped,
9919,10,completed,
10447,6,dropped,
7647,0,plan_to_watch,
9736,7,completed,
6347,9,completed,
8516,9,completed,
7870,0,plan_to_watch,
9471,6,completed,
10431,6,completed,
7805,4,completed,
5081,7,completed,
9513,0,plan_to_watch,
10218,8,completed,
12113,8,completed,
12115,8,completed,
13535,7,completed,
20787,7,completed,
7059,9,completed,
11285,8,completed,
269,10,completed,
1686,7,completed,
2889,6,completed,
4835,7,completed,
8247,9,completed,
762,5,completed,
10490,0,plan_to_watch,
10719,8,completed,
357,7,completed,
2131,7,completed,
14345,6,completed,
1689,6,completed,
4535,0,plan_to_watch,
10012,6,completed,
15927,7,completed,
10578,5,dropped,
28999,10,completed,
16157,0,plan_to_watch,
14741,9,completed,
15687,8,completed,
18671,7,completed,
2167,10,completed,
4181,10,completed,
6351,10,completed,
4059,10,completed,
1575,7,plan_to_watch,
13807,5,completed,
16355,0,plan_to_watch,
11843,8,completed,
12893,0,plan_to_watch,
8915,0,plan_to_watch,
2025,0,plan_to_watch,
15583,0,plan_to_watch,
6880,6,completed,
1535,7,completed,
28223,6,dropped,
9379,7,completed,
10638,0,plan_to_watch,
5177,6,completed,
225,6,completed,
987,6,completed,
30694,10,watching,
813,7,completed,
894,6,completed,
895,6,completed,
896,6,completed,
897,6,completed,
898,6,completed,
899,6,completed,
900,6,completed,
901,6,completed,
902,6,completed,
903,6,completed,
904,6,completed,
905,6,completed,
906,6,completed,
14837,8,completed,
25389,0,plan_to_watch,
986,6,completed,
985,6,completed,
984,6,completed,
5152,6,completed,
9330,0,plan_to_watch,
28121,7,on_hold,
6746,8,completed,
8408,6,completed,
23199,8,completed,
27831,6,completed,
2924,0,plan_to_watch,
6702,9,completed,
22043,7,dropped,
9982,8,dropped,
14829,0,plan_to_watch,
12565,0,plan_to_watch,
356,8,completed,
25537,0,plan_to_watch,
22297,7,completed,
28701,8,completed,
27821,7,completed,
10087,8,completed,
11741,9,completed,
2952,8,completed,
18507,7,completed,
71,0,plan_to_watch,
121,7,completed,
5114,7,completed,
9135,7,completed,
4725,0,plan_to_watch,
240,0,plan_to_watch,
14811,0,plan_to_watch,
17895,7,completed,
17729,8,completed,
29093,7,completed,
29095,6,on_hold,
23251,6,completed,
10417,6,completed,
3299,0,plan_to_watch,
13161,8,completed,
11785,8,completed,
15699,7,completed,
263,0,plan_to_watch,
587,0,plan_to_watch,
15809,8,completed,
5150,0,plan_to_watch,
2026,0,plan_to_watch,
270,0,plan_to_watch,
8101,0,plan_to_watch,
10187,0,plan_to_watch,
15225,7,completed,
11617,8,completed,
15451,0,plan_to_watch,
12729,7,on_hold,
10958,7,completed,
8074,8,completed,
10079,7,completed,
1220,0,plan_to_watch,
10408,0,plan_to_watch,
11061,0,plan_to_watch,
12189,6,completed,
7088,8,completed,
248,0,plan_to_watch,
11013,8,completed,
9041,8,completed,
228,5,dropped,
23121,0,plan_to_watch,
14719,7,completed,
20899,8,completed,
26055,10,completed,
12679,7,completed,
15591,0,plan_to_watch,
5680,10,completed,
9617,10,completed,
7791,10,completed,
9734,10,completed,
6862,10,completed,
7054,0,plan_to_watch,
8525,9,completed,
10080,7,completed,
16706,8,completed,
15117,0,plan_to_watch,
10372,0,plan_to_watch,
10568,9,completed,
30455,0,plan_to_watch,
3958,0,plan_to_watch,
1530,10,completed,
21511,10,completed,
469,0,plan_to_watch,
1604,0,plan_to_watch,
10191,0,plan_to_watch,
1691,0,plan_to_watch,
3464,0,plan_to_watch,
18679,9,completed,
11079,6,completed,
6045,0,plan_to_watch,
10460,7,completed,
11739,8,completed,
22535,7,completed,
9260,0,plan_to_watch,
5678,0,plan_to_watch,
3085,0,plan_to_watch,
12175,8,completed,
11887,8,completed,
16001,7,completed,
8841,8,completed,
10790,9,completed,
15437,8,completed,
5079,0,plan_to_watch,
4898,0,plan_to_watch,
5039,0,plan_to_watch,
10893,6,completed,
15359,5,completed,
13655,10,completed,
18195,10,completed,
16353,8,dropped,
1887,10,completed,
9756,10,completed,
11977,0,plan_to_watch,
21863,0,plan_to_watch,
14049,5,completed,
10397,8,completed,
7590,7,completed,
11761,7,completed,
14527,7,completed,
9335,6,completed,
21603,7,completed,
2963,9,completed,
5713,7,completed,
5162,7,completed,
3225,7,completed,
14575,0,plan_to_watch,
14511,7,on_hold,
10620,9,completed,
20033,0,plan_to_watch,
7627,4,dropped,
8424,8,completed,
15315,0,plan_to_watch,
10671,7,dropped,
457,0,plan_to_watch,
1722,0,plan_to_watch,
26351,7,on_hold,
16910,0,plan_to_watch,
20,7,completed,
442,6,completed,
936,5,completed,
2144,6,completed,
10075,7,completed,
1735,9,on_hold,
2472,6,completed,
4437,7,completed,
6325,7,completed,
8246,5,completed,
10589,0,plan_to_watch,
13667,0,plan_to_watch,
12467,6,completed,
15689,6,completed,
1210,10,completed,
10165,8,completed,
11597,7,completed,
12659,7,completed,
19815,7,completed,
10161,0,plan_to_watch,
19855,5,dropped,
3467,0,plan_to_watch,
17549,0,plan_to_watch,
7592,6,dropped,
30276,7,watching,
14199,7,completed,
2966,7,completed,
5341,7,completed,
6884,5,completed,
6007,6,completed,
7769,0,plan_to_watch,
8769,8,completed,
10020,5,dropped,
13659,7,completed,
14749,7,on_hold,
19221,0,plan_to_watch,
9922,0,plan_to_watch,
26243,7,on_hold,
5530,0,plan_to_watch,
11179,7,completed,
12673,6,completed,
16397,0,plan_to_watch,
10711,7,completed,
13601,6,dropped,
10611,0,plan_to_watch,
6114,8,completed,
11227,0,plan_to_watch,
28497,8,completed,
22865,6,dropped,
64,0,plan_to_watch,
15771,6,completed,
5671,0,plan_to_watch,
114,8,completed,
13759,9,completed,
13055,6,on_hold,
6203,0,plan_to_watch,
14515,6,dropped,
2605,7,completed,
2476,0,plan_to_watch,
24,0,plan_to_watch,
5940,0,plan_to_watch,
6974,0,plan_to_watch,
5909,7,completed,
10464,6,dropped,
8675,8,completed,
20847,0,plan_to_watch,
27967,7,completed,
15751,0,plan_to_watch,
18119,0,plan_to_watch,
2104,7,completed,
4163,6,completed,
355,7,on_hold,
21843,7,completed,
16498,10,completed,
169,0,plan_to_watch,
789,0,plan_to_watch,
2031,0,plan_to_watch,
2596,0,plan_to_watch,
8557,6,dropped,
13125,5,dropped,
13175,5,completed,
1836,0,plan_to_watch,
10109,0,plan_to_watch,
12783,0,plan_to_watch,
8726,0,plan_to_watch,
3588,7,completed,
9253,10,completed,
11577,0,plan_to_watch,
10863,7,completed,
3667,6,dropped,
7311,10,completed,
849,10,completed,
4382,10,completed,
5118,9,completed,
11757,10,completed,
