anime_id,score,watching_status,watched_episodes
2928,0,plan_to_watch,
3269,0,plan_to_watch,
4469,0,plan_to_watch,
454,7,completed,
1143,7,completed,
299,0,plan_to_watch,
9332,0,plan_to_watch,
10390,0,plan_to_watch,
873,0,plan_to_watch,
48,8,completed,
298,0,plan_to_watch,
1994,0,plan_to_watch,
11375,0,plan_to_watch,
1487,7,completed,
15219,0,plan_to_watch,
11759,8,completed,
13939,8,completed,
13859,8,completed,
31763,0,plan_to_watch,
17082,6,completed,
31580,6,completed,
33253,0,plan_to_watch,
30123,8,completed,
31173,8,completed,
12149,8,completed,
14941,8,completed,
16201,0,dropped,
19429,0,plan_to_watch,
3359,0,plan_to_watch,
15085,5,completed,
11111,8,completed,
11701,9,completed,
1051,6,completed,
9919,8,completed,
11737,0,plan_to_watch,
11266,0,plan_to_watch,
7193,0,plan_to_watch,
15133,6,completed,
7647,0,plan_to_watch,
16518,0,plan_to_watch,
55,5,completed,
477,0,dropped,
17395,4,completed,
28249,8,completed,
31821,0,plan_to_watch,
8475,6,completed,
586,7,completed,
2251,0,plan_to_watch,
6347,9,completed,
8516,9,completed,
9471,8,completed,
10834,7,completed,
1576,0,plan_to_watch,
2986,8,completed,
67,3,dropped,
579,8,completed,
9513,8,completed,
9120,6,completed,
10396,9,completed,
31904,0,watching,
13535,10,completed,
2607,2,completed,
2213,8,completed,
4071,9,completed,
2214,10,completed,
7229,0,plan_to_watch,
1373,8,completed,
1521,8,completed,
4070,6,completed,
1983,9,completed,
10055,0,plan_to_watch,
6246,7,completed,
22547,7,completed,
18767,0,plan_to_watch,
269,10,completed,
1686,8,completed,
2889,9,completed,
4835,9,completed,
8247,7,completed,
762,6,completed,
834,6,completed,
11633,7,completed,
18441,0,plan_to_watch,
150,0,plan_to_watch,
31043,10,completed,
31964,0,watching,
10719,7,completed,
14967,7,completed,
11241,7,completed,
22433,0,plan_to_watch,
15605,0,plan_to_watch,
14345,7,completed,
31478,0,watching,
3389,8,completed,
10163,7,completed,
16157,6,completed,
2167,9,completed,
1723,7,completed,
4181,9,completed,
6351,7,completed,
4059,7,completed,
1818,0,plan_to_watch,
11703,9,completed,
15633,0,plan_to_watch,
14317,6,completed,
9479,7,completed,
15037,7,completed,
15109,8,completed,
1482,7,completed,
32370,0,plan_to_watch,
10259,0,plan_to_watch,
32189,0,plan_to_watch,
16592,7,completed,
16355,0,on_hold,
2025,7,completed,
6573,8,completed,
15583,0,on_hold,
17705,0,plan_to_watch,
6880,6,completed,
10418,6,completed,
1535,8,completed,
16512,7,completed,
31163,8,completed,
21743,8,completed,
2950,8,completed,
23333,0,dropped,
28121,0,completed,
6746,0,plan_to_watch,
2924,0,plan_to_watch,
226,9,completed,
376,7,completed,
6702,9,completed,
22043,8,completed,
12049,9,completed,
17535,7,completed,
9982,9,completed,
18393,8,completed,
2782,8,completed,
18507,9,completed,
22265,8,completed,
19671,0,on_hold,
18001,8,completed,
121,7,completed,
5114,0,watching,
430,7,completed,
9135,0,plan_to_watch,
3215,0,plan_to_watch,
240,0,plan_to_watch,
16918,9,completed,
19363,8,completed,
915,9,completed,
589,9,completed,
18411,8,completed,
918,8,completed,
7472,10,completed,
15335,10,completed,
9969,8,completed,
15417,9,completed,
2951,6,completed,
6945,9,completed,
28977,10,completed,
21267,6,completed,
21431,0,plan_to_watch,
17895,7,completed,
246,0,on_hold,
5041,0,on_hold,
31630,0,watching,
10417,8,completed,
31859,8,completed,
32561,7,completed,
20583,9,completed,
32935,0,plan_to_watch,
28891,8,completed,
15613,8,completed,
18055,8,completed,
6895,10,completed,
13117,0,plan_to_watch,
13119,0,plan_to_watch,
11663,7,completed,
9065,9,completed,
9723,0,plan_to_watch,
32011,0,watching,
13115,8,completed,
10350,7,completed,
20689,0,plan_to_watch,
21681,0,completed,
15809,8,completed,
10623,0,plan_to_watch,
270,7,completed,
777,0,on_hold,
15225,7,completed,
1977,0,plan_to_watch,
967,0,on_hold,
20431,7,completed,
2390,0,plan_to_watch,
160,0,plan_to_watch,
20457,0,plan_to_watch,
22123,7,completed,
249,8,completed,
6811,8,completed,
14765,10,completed,
12413,7,completed,
13331,7,completed,
14467,9,completed,
16904,0,plan_to_watch,
30524,0,plan_to_watch,
16664,0,plan_to_watch,
16668,0,plan_to_watch,
142,7,completed,
14713,0,plan_to_watch,
16009,0,plan_to_watch,
1004,9,completed,
32491,10,completed,
145,7,completed,
16033,0,plan_to_watch,
16035,9,completed,
1606,0,plan_to_watch,
845,0,plan_to_watch,
18679,0,dropped,
12031,10,completed,
17389,9,completed,
31798,0,watching,
11887,8,completed,
16001,8,completed,
15379,7,completed,
28623,0,watching,
1204,4,completed,
20889,0,plan_to_watch,
4898,7,completed,
6707,7,completed,
18153,7,completed,
14349,9,completed,
19489,0,plan_to_watch,
17265,8,completed,
23321,8,completed,
15051,7,completed,
19111,7,completed,
8792,6,completed,
20785,0,plan_to_watch,
16890,8,completed,
